;translation table;;Note / English / adi220_normal / approved;English / adi220_normal / approved;;;Locked / English / adi220_normal / approved;#Modified / English / adi220_normal / approved;German / adi220_normal / approved;;;Locked / German / adi220_normal / approved;#Modified / German / adi220_normal / approved;Czech / adi220_normal / approved;;;Locked / Czech / adi220_normal / approved;#Modified / Czech / adi220_normal / approved;French / adi220_normal / approved;;;Locked / French / adi220_normal / approved;#Modified / French / adi220_normal / approved;Italian / adi220_normal / approved;;;Locked / Italian / adi220_normal / approved;#Modified / Italian / adi220_normal / approved;Portuguese / adi220_normal / approved;;;Locked / Portuguese / adi220_normal / approved;#Modified / Portuguese / adi220_normal / approved;Spanish / adi220_normal / approved;;;Locked / Spanish / adi220_normal / approved;#Modified / Spanish / adi220_normal / approved;Locked / adi220_normal;Layout / adi220_normal;Status / adi220_normal;Comment / adi220_normal;Function;Coordinator;#File;Comment;Status;;
gültig?;Bezeichner;;Screen-Nr.:;English;Display;Überlänge;;;German;Display;Überlänge;;;Czech;Display;Überlänge;;;French;Display;Überlänge;;;Italian;Display;Überlänge;;;Portuguese;Display;Überlänge;;;Spanish;Display;Überlänge;;;;Layout;;;;;;;;Russian;CAN-
;Bezeichner;;Screen-Nr.:;US-English;Display;Überlänge;;;German;Display;Überlänge;;;Russian;Display;Überlänge;;;CAN-French;MISSING LAYOUT !;X;;;Dutch;Display;Überlänge;;;;MISSING LAYOUT !;X;;;Mex-Spanish;MISSING LAYOUT !;X;;;;Layout;;;;;;;;;
;qtn_stp_ta_checkbox_save_pin;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_enter_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_query_user_name;;DUMMY for sync with Premium;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;MISSING LAYOUT !;X;;;;;;;;;;;;;
;qtn_stp_ta_down_time_decrease;;S631;- 5 Minutes;- 5 Minutes;0;;;- 5 Minuten;- 5 Minuten;0;;;;- 5 Minut;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;- 5 Minutos;- 5 Minutos;0;;;;Auswahl;;;;;;;;;
;qtn_special_char_1;;;"!""#$%&'()*+,-.";MISSING LAYOUT !;X;Not locked;08.08.2002 10:41;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:40;;MISSING LAYOUT !;X;;24.01.2006 10:52;;MISSING LAYOUT !;X;;24.01.2006 10:37;;MISSING LAYOUT !;X;;24.01.2006 10:43;;MISSING LAYOUT !;X;;24.01.2006 10:46;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:49;Not locked;(none);Approved;;STP;Voellinger Stefanie;;Created for Seti;Proposed;;
;qtn_special_char_2;;;"/:;<=>?@[\\]^";MISSING LAYOUT !;X;X;11.10.2002 16:10;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:40;;MISSING LAYOUT !;X;;24.01.2006 10:52;;MISSING LAYOUT !;X;;24.01.2006 10:37;;MISSING LAYOUT !;X;;24.01.2006 10:43;;MISSING LAYOUT !;X;;24.01.2006 10:46;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:49;Not locked;(none);Approved;;STP;Voellinger Stefanie;;Created for Seti;Proposed;;
;qtn_special_char_3;;;_`{|}~…™¡¢£¤¥;MISSING LAYOUT !;X;Not locked;11.10.2002 16:10;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:40;;MISSING LAYOUT !;X;;24.01.2006 10:52;;MISSING LAYOUT !;X;;24.01.2006 10:37;;MISSING LAYOUT !;X;;24.01.2006 10:43;;MISSING LAYOUT !;X;;24.01.2006 10:46;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:50;Not locked;(none);Approved;;STP;Voellinger Stefanie;;Created for Seti;Proposed;;
;qtn_special_char_4;;;§©ª°«®±²³´¹º»;MISSING LAYOUT !;X;Not locked;11.10.2002 16:10;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:40;;MISSING LAYOUT !;X;;24.01.2006 10:53;;MISSING LAYOUT !;X;;24.01.2006 10:37;;MISSING LAYOUT !;X;;24.01.2006 10:43;;MISSING LAYOUT !;X;;24.01.2006 10:46;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:50;Not locked;(none);Approved;;STP;Voellinger Stefanie;;Created for Seti;Proposed;;
;qtn_special_char_5;;;¼½¾¿×÷;MISSING LAYOUT !;X;Not locked;11.10.2002 16:10;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:40;;MISSING LAYOUT !;X;;24.01.2006 10:53;;MISSING LAYOUT !;X;;24.01.2006 10:37;;MISSING LAYOUT !;X;;24.01.2006 10:43;;MISSING LAYOUT !;X;;24.01.2006 10:46;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:50;Not locked;(none);Approved;;STP;Voellinger Stefanie;;Created for Seti;Proposed;;
;qtn_stp_ta_note_test;;;#MISSING;#MISSING;0;Not locked;10.08.2005 13:33;#MISSING;#MISSING;0;;24.01.2006 10:42;;#MISSING;0;;24.01.2006 10:55;;EMPTY !;X;;24.01.2006 10:39;;EMPTY !;X;;24.01.2006 10:46;;EMPTY !;X;;24.01.2006 10:49;#MISSING;#MISSING;0;;24.01.2006 10:52;Not locked;4_Zeile;Approved;;STP;Hanebrink Thomas;;;Proposed;;
1;qtn_stp_ta_time_am;S213;S213;am;MISSING LAYOUT !;X;Not locked;24.01.2006 11:19;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:43;;MISSING LAYOUT !;X;;24.01.2006 10:55;;MISSING LAYOUT !;X;;24.01.2006 10:40;;MISSING LAYOUT !;X;;24.01.2006 10:46;;MISSING LAYOUT !;X;;24.01.2006 10:49;am;MISSING LAYOUT !;X;Not locked;09.02.2005 12:22;Not locked;(none);Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed;;
1;qtn_stp_ta_time_pm;S213;S213;pm;MISSING LAYOUT !;X;Not locked;24.01.2006 11:17;#MISSING;MISSING LAYOUT !;X;;24.01.2006 10:43;;MISSING LAYOUT !;X;;24.01.2006 10:55;;MISSING LAYOUT !;X;;24.01.2006 10:40;;MISSING LAYOUT !;X;;24.01.2006 10:46;;MISSING LAYOUT !;X;;24.01.2006 10:49;pm;MISSING LAYOUT !;X;Not locked;09.02.2005 12:22;Not locked;(none);Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed;;
;qtn_stp_ta_down_time_minutes;;S631;%U minutes;%U minutes;0;;;%U Minuten;%U Minuten;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;%U minutos;%U minutos;0;;;;Auswahl;;;;;;;;;
1;qtn_stp_ta_call_diverted;S901;S901;(diverted);MISSING LAYOUT !;X;Not locked;24.01.2006 11:20;(umgeleitet);(umgeleitet);0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;(desviada);(desviada);0;Not locked;09.02.2005 12:19;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_down_time_increase;;S631;+ 5 Minutes;+ 5 Minutes;0;;;+ 5 Minuten;+ 5 Minuten;0;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;;EMPTY !;X;;;+ 5 Minutos;+ 5 Minutos;0;;;;Auswahl;;;;;;;
1;qtn_stp_ta_time_standard;S213;S213;12;MISSING LAYOUT !;X;Not locked;24.01.2006 11:21;24;MISSING LAYOUT !;X;Not locked;22.09.2004 17:07;;MISSING LAYOUT !;X;Not locked;09.02.2005 12:22;;MISSING LAYOUT !;X;Not locked;09.02.2005 12:22;;MISSING LAYOUT !;X;Not locked;09.02.2005 12:22;;MISSING LAYOUT !;X;Not locked;09.02.2005 12:22;24;MISSING LAYOUT !;X;Not locked;09.02.2005 12:22;Not locked;(none);Approved;;STP;Voellinger Stefanie;;Created for Cumulus;Proposed
1;qtn_stp_ta_menu_cancel;"S001; SC12; 
S410; S407; S520; S512; S580; SC13; SB01";"S001; SC12; S410; S520; SC13; S627; SB01; S921; S51C; S407; S624; S519";Cancel;Cancel;0;Not locked;26.10.2004 16:40;Abbruch;Abbruch;0;Not locked;28.05.2004 10:33;;dfgdfg;0;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Cancelar;Cancelar;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_setting_down_time;;S621;Off time;Off time;0;Not locked;24.01.2006 11:22;Abschaltzeit;Abschaltzeit;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;Tiempo descon.;Tiempo descon.;0;Not locked;16.03.2005 20:05;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_down_time;;S631;Off time:\n%U mins;"Off time:
%U mins";0;Not locked;24.01.2006 11:21;Abschaltzeit:\n%U Minuten;"Abschaltzeit:
%U Minuten";0;Not locked;20.10.2004 12:24;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;Tiempo descon.\n%U minutos;"Tiempo descon.
%U minutos";0;Not locked;16.03.2005 20:05;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_values;;S632;Off time possible 0 - 60 min;"Off time possible
0 - 60 min";0;Not locked;24.01.2006 11:19;Abschaltzeit\n0 bis 60 Minuten\nmöglich;"Abschaltzeit
0 bis 60 Minuten
möglich";0;Not locked;20.04.2005 15:15;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;Duración de la desconexión: entre 0 y 60 minutos;"Duración de la
desconexión:
entre 0 y 60
minutos";0;Not locked;09.02.2005 12:21;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_call_reject;"S901; S902; S905";"S901; S902; S905";Reject;Reject;0;Not locked;24.01.2006 11:22;Abweisen;Abweisen;0;Not locked;28.05.2004 10:33;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;;EMPTY !;X;Not locked;09.02.2005 12:19;Rechazar;Rechazar;0;Not locked;09.02.2005 12:19;Not locked;Auswahl;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_note_ignition;S944;S944;Only possible when ignition\nis on;"Only possible
when ignition
is on";0;Not locked;24.01.2006 11:21;Aktion nur bei\neingeschalteter\nZündung möglich!;"Aktion nur bei
eingeschalteter
Zündung
möglich!";0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;;EMPTY !;X;Not locked;09.02.2005 12:20;Operación ejecutable sólo con el encendido conectado;"Operación
ejecutable sólo
con el encendido
conectado";0;Not locked;09.02.2005 12:20;Not locked;4_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
;qtn_stp_ta_note_speed;;S407;Only possible when vehicle is stationary;"Only possible
when vehicle is
stationary";0;Not locked;24.01.2006 11:21;Aktion nur bei stehendem Fahrz. möglich;"Aktion nur bei
stehendem
Fahrz. möglich";0;Not locked;19.07.2004 12:30;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;09.02.2005 12:21;;EMPTY !;X;Not locked;16.03.2005 20:05;Func. disponible sólo con el veh. detenido;"Func. disponible
sólo con el veh.
detenido";0;Not locked;09.02.2005 12:21;Not locked;3_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_query_del_act_device;S579;S579;active. Delete?;active. Delete?;0;Not locked;24.01.2006 11:21;aktiv. Löschen?;aktiv. Löschen?;0;Not locked;26.08.2005 15:29;;EMPTY !;X;Not locked;26.08.2005 15:29;;EMPTY !;X;Not locked;26.08.2005 15:29;;EMPTY !;X;Not locked;26.08.2005 15:29;;EMPTY !;X;Not locked;26.08.2005 15:29;activo,  ¿Borrar?;activo,  ¿Borrar?;0;Not locked;26.08.2005 15:29;Not locked;1_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
1;qtn_stp_ta_query_del_act_user;S555;S555;active. Delete?;active. Delete?;0;Not locked;24.01.2006 11:23;aktiv. Löschen?;"%U aktiv.
Löschen?";0;Not locked;25.01.2005 17:37;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;16.03.2005 20:05;;EMPTY !;X;Not locked;09.02.2005 12:21;activo,  ¿Borrar?;activo,  ¿Borrar?;0;Not locked;09.02.2005 12:21;Not locked;2_Zeile;Approved;;STP;Voellinger Stefanie;;;Proposed
